organization_id	location	number_of_reviews	is_payment_required	membership_cost	image_url
1	DMH 164	0	FALSE	58	http://www.books-not-bombs.com/content/images/schools/sjsu.png
2	Admin 110	2	FALSE	75	http://www.books-not-bombs.com/content/images/schools/sjsu.png
3	NA	1	FALSE	88	http://www.books-not-bombs.com/content/images/schools/sjsu.png
4	NA	2	FALSE	139	https://pbs.twimg.com/profile_images/651155903459123200/nepF6I32.jpg
5	Off Campus	0	FALSE	85	http://www.books-not-bombs.com/content/images/schools/sjsu.png
6	Student Union Room 2B	2	TRUE	135	http://www.sjsu.edu/cob/pics/AIMTealLogo.jpg
7	NA	2	FALSE	119	http://www.books-not-bombs.com/content/images/schools/sjsu.png
8	NA	1	FALSE	138	http://www.books-not-bombs.com/content/images/schools/sjsu.png
9	NA	3	FALSE	112	http://www.sjsu.edu/cob/pics/African%20American%20Business%20Club.jpg
10	CH 30	3	FALSE	138	http://www.sjsu.edu/blackscholars/studentorgs/Black%20Grad%20Torch%20LOGO.jpg
11	NA	1	TRUE	149	http://www.books-not-bombs.com/content/images/schools/sjsu.png
12	NA	0	TRUE	95	http://aiesec.org/wp-content/uploads/2014/11/AIESEC-New-Logo1.png
13	NA	0	TRUE	141	http://www.books-not-bombs.com/content/images/schools/sjsu.png
14	Student Union	2	FALSE	89	https://media.licdn.com/media/p/6/005/057/229/2fcc83d.png
15	Off Campus	2	TRUE	100	http://www.books-not-bombs.com/content/images/schools/sjsu.png
16	NA	3	FALSE	79	http://www.books-not-bombs.com/content/images/schools/sjsu.png
17	182 S 10th Street, San Jose CA	2	FALSE	64	http://www.sjsu.edu/getinvolved/pics/Alpha%20Epsilon%20Pi%20flag.gif
18	2105 Swift Ave,  San Jose, California	2	TRUE	55	https://engineering.sjsu.edu/files/public/Org_Images/alpha_eta_rho.jpg
19	Off Campus	2	FALSE	144	https://greeklife.umich.edu/files/greeklife/AKAshield.png
20	Off Campus	2	FALSE	66	https://pbs.twimg.com/profile_images/468504761226907648/7S1vqLqp.jpeg
21	Off Campus	2	TRUE	80	https://pbs.twimg.com/profile_images/1841517324/Crest.jpg
22	Off Campus	0	TRUE	108	https://pbs.twimg.com/profile_images/1765076552/logo_400x400.jpg
23	NA	2	FALSE	58	http://alphakappapsi.net/view.image?Id=646
24	408 South 8th Street, San Jose CA 95112	2	TRUE	82	https://i1.wp.com/socawlege.com/wp-content/uploads/2016/02/Alpha-Omicron-Pi.jpg?resize=288%2C180
25	210 South 10th Street, San Jose CA 95112	3	FALSE	62	https://pbs.twimg.com/profile_images/822272385822769152/4sdjDEqf.jpg
26	322 East San Salvador Street, San Jose, CA 95112	3	FALSE	92	http://www.sjsu.edu/getinvolved/pics/Alpha%20Phi%20Alpha%20flag.png
27	NA	1	TRUE	69	http://www.apocsulb.org/wp-content/uploads/2016/01/National-Alpha-Phi-Omega.png
28	NA	3	TRUE	49	https://static.wixstatic.com/media/eb9333_1b740b212e6045d5b79ff3c94f840074.jpg
29	NA	1	TRUE	35	http://alphasigmaphi.org/Websites/alphasigmaphihq/images/LETTERS-c.png
30	NA	1	TRUE	51	https://atdnursing.files.wordpress.com/2014/02/cropped-1392426_548866661849862_367703344_n.jpg
31	202 South 11th Street	2	FALSE	135	http://www.sjsu.edu/getinvolved/pics/Alpha%20Tau%20Omega%20mini%20banner.jpg
32	NA	3	TRUE	85	http://www.books-not-bombs.com/content/images/schools/sjsu.png
33	Student Union Mosaic Center	3	TRUE	75	http://www.books-not-bombs.com/content/images/schools/sjsu.png
34	ENGR 376A	1	TRUE	58	http://www.books-not-bombs.com/content/images/schools/sjsu.png
35	NA	3	TRUE	32	https://upload.wikimedia.org/wikipedia/en/9/93/American_Association_of_Airport_Executives_%28logo%29.jpg
36	NA	1	TRUE	131	https://www.acda.org/web-resources/images/web-resources/pref-logo.png
37	ENGR 147	1	FALSE	59	https://engineering.sjsu.edu/files/public/Org_Images/american_concrete_institute.jpg
38	ENGR 164	3	TRUE	136	http://static1.squarespace.com/static/52167837e4b0ed9ca2d417c5/t/530ec963e4b0157db5181bc6/1492037489723/?format=1500w
39	ENGR 225A	2	FALSE	110	https://engineering.sjsu.edu/files/public/Org_Images/american_institute_of_chemical_engineers.gif
40	NA	0	FALSE	145	http://www.books-not-bombs.com/content/images/schools/sjsu.png
41	ENGR 136	0	TRUE	44	http://www.books-not-bombs.com/content/images/schools/sjsu.png
42	NA	2	FALSE	110	http://www.books-not-bombs.com/content/images/schools/sjsu.png
43	ENGR 114	3	FALSE	95	http://www.books-not-bombs.com/content/images/schools/sjsu.png
44	Student Union	0	TRUE	80	http://www.books-not-bombs.com/content/images/schools/sjsu.png
45	NA	3	TRUE	46	http://www.books-not-bombs.com/content/images/schools/sjsu.png
46	Off Campus	3	TRUE	143	https://mir-s3-cdn-cf.behance.net/project_modules/disp/6ec8708233969.5602b336284ce.jpg
47	NA	2	TRUE	147	http://www.books-not-bombs.com/content/images/schools/sjsu.png
48	NA	2	FALSE	45	http://www.books-not-bombs.com/content/images/schools/sjsu.png
49	NA	0	TRUE	145	http://www.books-not-bombs.com/content/images/schools/sjsu.png
50	ENGR 366	2	TRUE	45	http://www.books-not-bombs.com/content/images/schools/sjsu.png
51	NA	0	FALSE	87	http://www.books-not-bombs.com/content/images/schools/sjsu.png
52	NA	2	TRUE	136	http://www.books-not-bombs.com/content/images/schools/sjsu.png
53	NA	1	TRUE	144	http://www.books-not-bombs.com/content/images/schools/sjsu.png
54	NA	0	FALSE	150	http://s3.amazonaws.com/ClubExpressClubFiles/244299/graphics/afe_logo_2_2135570402.jpg
55	NA	2	FALSE	37	http://www.books-not-bombs.com/content/images/schools/sjsu.png
56	NA	1	TRUE	139	http://www.books-not-bombs.com/content/images/schools/sjsu.png
57	NA	1	FALSE	38	http://www.books-not-bombs.com/content/images/schools/sjsu.png
58	NA	1	TRUE	126	http://www.books-not-bombs.com/content/images/schools/sjsu.png
59	NA	0	TRUE	127	http://www.books-not-bombs.com/content/images/schools/sjsu.png
60	Student Union	3	FALSE	83	http://www.books-not-bombs.com/content/images/schools/sjsu.png
61	NA	1	FALSE	108	http://www.sjsu.edu/cob/pics/BIA-Logo-Clean-Blue%20copy.png
62	NA	3	FALSE	105	http://www.books-not-bombs.com/content/images/schools/sjsu.png
63	NA	2	FALSE	92	http://www.books-not-bombs.com/content/images/schools/sjsu.png
64	NA	0	TRUE	145	http://www.sjsu.edu/cob/pics/betaAlphaPsiLogo.jpg
65	NA	0	FALSE	129	https://www.geneseo.edu/sites/default/files/sites/tribeta/TriBeta%2520logo.gif
66	365 E. San Fernando St, San Jose CA	3	TRUE	75	https://upload.wikimedia.org/wikipedia/en/2/29/Beta_Theta_Pi_seal.png
67	NA	2	FALSE	36	http://www.books-not-bombs.com/content/images/schools/sjsu.png
68	DH 348	0	TRUE	58	http://www.books-not-bombs.com/content/images/schools/sjsu.png
69	DH 346	0	TRUE	31	http://www.books-not-bombs.com/content/images/schools/sjsu.png
70	ENGR 182	2	FALSE	65	http://static1.squarespace.com/static/545c1b5de4b0a64725b87f0e/t/54d072e4e4b03b10d0daf90a/1489556905036/
71	ENGR 366	2	FALSE	114	http://www.books-not-bombs.com/content/images/schools/sjsu.png
72	NA	2	FALSE	85	http://www.books-not-bombs.com/content/images/schools/sjsu.png
