Organization,Classification,Location
A.L.M.A.S. ,Cultural and Religious,
Accessibility Advocates,Special Interest,
Acro-Pole and Fitness,Special Interest,
Active Minds,Academic,
Acts 2 Christian Fellowship @ SJSU,Cultural and Religious,
Advancement Institute for Management ,Academic,
Aerodynamic Research,Academic,
Afghan Student Association ,Cultural and Religious,
African American Business Club,Academic,
African American Commencement Committee,Cultural and Religious,
African American Taskforce ,Academic,
AIESEC,Special Interest,
Air Corps Leadership Club,Academic,
Akbayan Pilipino American Organization,Cultural and Religious,
Alabaster House of Prayer ,Cultural and Religious,
All Comedy SJSU,Special Interest,
Alpha Epsilon Pi Jewish Fraternity,Fraternity/Sorority,
"Alpha Eta Rho, Eta Chapter",Academic,
Alpha Kappa Alpha Sorority Inc. ,Fraternity/Sorority,
Alpha Kappa Delta Phi,Fraternity/Sorority,
Alpha Kappa Omega,Fraternity/Sorority,
Alpha Kappa Omicron Sorority ,Fraternity/Sorority,
Alpha Kappa Psi Professional Business Fraternity,Academic,
Alpha Omicron Pi Women's Fraternity,Fraternity/Sorority,
Alpha Phi,Fraternity/Sorority,
Alpha Phi Alpha Fraternity Inc.,Fraternity/Sorority,
Alpha Phi Omega,Special Interest,
Alpha Phi Sigma,Academic,
Alpha Sigma Phi Fraternity,Fraternity/Sorority,
Alpha Tau Delta,Academic,
Alpha Tau Omega,Fraternity/Sorority,
Alpha Xi Delta,Fraternity/Sorority,
Alternative Amory and Kink Union,Special Interest,
Amateur Radio Club,Academic,
American Association of Airport Executives (AAAE),Academic,
American Choral Directors Association,Academic,
American Concrete Institute,Academic,
American Institute of Aeronautics and Astronautics,Academic,
American Institute of Chemical Engineers,Academic,
American Library Association Student Chapter,Academic,
American Society of Civil Engineers,Academic,
"American Society of Heating, Refrigerating and Air-Conditioning Engineers (A.S.H.R.A.E.)",Academic,
American Society of Mechanical Engineers (ASME),Academic,
American Water Works Association Student Chapter at San Jose State University,Academic,
Anthropology Club ,Academic,
Archery Club,Club Sports,
Arnold Air Society,Academic,
Art History Association,Academic,
Asian American Christian Fellowship,Cultural and Religious,
Asian Coalition of Engineers & Scientists ,Cultural and Religious,
ASME Aerospace,Academic,
ASME Automotive,Academic,
Assembly of Nurse Scholars,Academic,
Associated General Contractors,Academic,
Associated Students of Moss Landing Marine Labs,Academic,
Association for Facilities Engineers ,Academic,
"Association of Technology, Management, and Applied Engineering (ATMAE) SJSU Chapter",Special Interest,
Atheists and Skeptics for Knowledge,Cultural and Religious,
Badminton Club,Club Sports,
