Club_ID,Number_Of_Reviews,Payment_Required,Membership_Cost,Description,Image_URL
1,0,FALSE,58,We strive for higher education and the success of all underrepresented students at San Jose State University,http://www.books-not-bombs.com/content/images/schools/sjsu.png
2,2,FALSE,75,Accessibility Advocates is a club run by students with disabilities for students with disabilities,http://www.books-not-bombs.com/content/images/schools/sjsu.png
3,1,FALSE,88,This club is for those who want to learn a new way of exercise with a creative twist,http://www.books-not-bombs.com/content/images/schools/sjsu.png
4,2,FALSE,139,Empowering students at SJSU to raise mental health awareness,https://pbs.twimg.com/profile_images/651155903459123200/nepF6I32.jpg
5,0,FALSE,85,Studying and seeking for Truth through the Bible and genuine and open discussion upon it,http://www.books-not-bombs.com/content/images/schools/sjsu.png
6,2,TRUE,135,AIM provides opportunities for management students to further their professional development,http://www.sjsu.edu/cob/pics/AIMTealLogo.jpg
7,2,FALSE,119,Help educate students that are interested in pursuing or obtaining knowledge/experience related to the aerodynamics industry,http://www.books-not-bombs.com/content/images/schools/sjsu.png
8,1,FALSE,138,"To promote awareness, tolerance, and peace in issues relating to Afghanistan in San Jose State University",http://www.books-not-bombs.com/content/images/schools/sjsu.png
9,3,FALSE,112,"The African-American Business Club is a student-run organization aimed at creating an inclusive community of (African-American) students who will be able to thrive in the business world. We want to prepare our members to enter the business world, by involving them in projects and activities and providing a link between minority students and local companies.",http://www.sjsu.edu/cob/pics/African%20American%20Business%20Club.jpg
10,3,FALSE,138,The purpose of this organization is to be a source of information for students on their paths to graduation and beyond.,http://www.sjsu.edu/blackscholars/studentorgs/Black%20Grad%20Torch%20LOGO.jpg
11,1,TRUE,149,Bring together faculty and staff from across campus to develop concrete ways of supporting African American students at SJSU and addressing the achievement gap.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
12,0,TRUE,95,AIESEC transforms youth into global leaders,http://aiesec.org/wp-content/uploads/2014/11/AIESEC-New-Logo1.png
13,0,TRUE,141,Develop quality leaders.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
14,2,FALSE,89,Akbayan strives to increase the knowledge of the Pilipino/Pilipino-American culture and share the beauty of its heritage.,https://media.licdn.com/media/p/6/005/057/229/2fcc83d.png
15,2,TRUE,100,"The purposes of Alabaster House of Prayer are to gather students dedicated to prayer, Christian relationship, and relationships with Churches",http://www.books-not-bombs.com/content/images/schools/sjsu.png
16,3,FALSE,79,"Mostly just standup, but anything funny",http://www.books-not-bombs.com/content/images/schools/sjsu.png
17,2,FALSE,64,We offer THE best college experience for all San Jose State students and create memorable friendships for a lifetime.,http://www.sjsu.edu/getinvolved/pics/Alpha%20Epsilon%20Pi%20flag.gif
18,2,TRUE,55,To instill in the public mind a confidence in Aviation; To promote contacts between the students of Aviation and those engaged in the profession;,https://engineering.sjsu.edu/files/public/Org_Images/alpha_eta_rho.jpg
19,2,FALSE,144,"The purpose of Alpha Kappa Alpha Sorority is to cultivate and encourage high scholastic and ethical standards, to promote unity and friendship among college women,",https://greeklife.umich.edu/files/greeklife/AKAshield.png
20,2,FALSE,66,Fosters the making of successful leaders by assisting and challenging our members to reach their maximum potential.,https://pbs.twimg.com/profile_images/468504761226907648/7S1vqLqp.jpeg
21,2,TRUE,80,"Guided by the principles and lessons of the Katipunan, sealed in the tenets of Strength, Loyalty, Pride, Wisdom and Courage so we can achieve the noble goals of leadership, academic excellence, cultural awareness and social responsibility.",https://pbs.twimg.com/profile_images/1841517324/Crest.jpg
22,0,TRUE,108,"Pilipino-American sorority based on the history, traditions, and culture of the Philippines.",https://pbs.twimg.com/profile_images/1765076552/logo_400x400.jpg
23,2,FALSE,58,"The Omega Phi Chapter at San Jose State University was founded upon our 5 core values of Brotherhood, Unity, Service, Integrity and Knowledge.",http://alphakappapsi.net/view.image?Id=646
24,2,TRUE,82,To encourage a spirit of Fraternity and love among its members;,https://i1.wp.com/socawlege.com/wp-content/uploads/2016/02/Alpha-Omicron-Pi.jpg?resize=288%2C180
25,3,FALSE,62,"An international women's fraternity that focuses on the values of sisterhood, scholarship, service, leadership, loyalty, and character development.",https://pbs.twimg.com/profile_images/822272385822769152/4sdjDEqf.jpg
26,3,FALSE,92,N/A,http://www.sjsu.edu/getinvolved/pics/Alpha%20Phi%20Alpha%20flag.png
27,1,TRUE,69,To assemble college students in a national service fraternity in the fellowship of principles derived from the Scout Oath and Law of the Boy Scouts of America;,http://www.apocsulb.org/wp-content/uploads/2016/01/National-Alpha-Phi-Omega.png
28,3,TRUE,49,"The Purpose of Iota chapter is to foster a culture of academic excellence in the justice studies department at San Jose State University, promote community involvement and maintain alumni involvement in Chapter activities.",https://static.wixstatic.com/media/eb9333_1b740b212e6045d5b79ff3c94f840074.jpg
29,1,TRUE,35,"Recruits men with the goal of helping them reach the fullness of potential using its five virtues: Purity, Honor, Charity, Silence, and Patriotism.",http://alphasigmaphi.org/Websites/alphasigmaphihq/images/LETTERS-c.png
30,1,TRUE,51,"To affirm sound nursing standards and to promote the nursing profession through intellectual enrichment, personal growth and individual performance of its members to serve their communities while uniting them in a bond of friendship.",https://atdnursing.files.wordpress.com/2014/02/cropped-1392426_548866661849862_367703344_n.jpg
31,2,FALSE,135,"To bind men together in a brotherhood based upon eternal and immutable principles, with a bond as strong as right itself and as lasting as humanity",http://www.sjsu.edu/getinvolved/pics/Alpha%20Tau%20Omega%20mini%20banner.jpg
32,3,TRUE,85,"The purpose of an Alpha Xi Delta chapter shall be sincere development of character; high standards of scholarship; whole-hearted interest and involvement in college affairs; living in such a way that health, peace and harmony prevail; and a wholesome social life above reproach or criticism.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
33,3,TRUE,75,Our goal is to provide a safe space for individuals who identify as non-monogamous and/or kinky and those who are interested in learning about these lifestyles.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
34,1,TRUE,58,"To provide a resource for emergency communications to SJSU and the community, to train operators and test equipment and procedures by having drills and encouraging use of radios, to assist members in obtaining Amateur Radio licenses and equipment",http://www.books-not-bombs.com/content/images/schools/sjsu.png
35,3,TRUE,32,To encourage professionalism in the administration of airports through the acquisition of knowledge,https://upload.wikimedia.org/wikipedia/en/9/93/American_Association_of_Airport_Executives_%28logo%29.jpg
36,1,TRUE,131,"To foster and promote choral singing which will provide artistic, cultural, and spiritual experiences for the participants.",https://www.acda.org/web-resources/images/web-resources/pref-logo.png
37,1,FALSE,59,To promote civil engineering as a professional and as an institute that enhances the quality of life through public servitude and free enterprise.,https://engineering.sjsu.edu/files/public/Org_Images/american_concrete_institute.jpg
38,3,TRUE,136,"The world's largest professional society, principal voice, and information resource devoted to the progress of engineering and science in aviation, space, and defense.",http://static1.squarespace.com/static/52167837e4b0ed9ca2d417c5/t/530ec963e4b0157db5181bc6/1492037489723/?format=1500w
39,2,FALSE,110,"To promote the professional development of its members by exposing them to professional activities such as speakers and tours,",https://engineering.sjsu.edu/files/public/Org_Images/american_institute_of_chemical_engineers.gif
40,0,FALSE,145,"The purpose of ALASC is to foster participation in the American Library Association and use of its publications, scholarships and conferences",http://www.books-not-bombs.com/content/images/schools/sjsu.png
41,0,TRUE,44,To promote Civil Engineering as a profession and as an institute that enhances the quality of life through public service and free enterprise.,http://www.books-not-bombs.com/content/images/schools/sjsu.png
42,2,FALSE,110,"The objectives of the organization are exclusively scientific and educational and include, but are not limited to: (a) the advancement of the sciences of heating, refrigeration and air-conditioning engineering and related sciences;",http://www.books-not-bombs.com/content/images/schools/sjsu.png
43,3,FALSE,95,"To envision, empower, and execute the learning processes of multidisciplinary engineering and science students across the globe, while grooming them to be cutting edge leaders, entrepreneurs, and team players.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
44,0,TRUE,80,"To increase awareness of the water resources industry by way of research, discussion, and education.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
45,3,TRUE,46,"To integrate and expand social, academic, and professional networks for students and those who are interested in the field of Anthropology.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
46,3,TRUE,143,To provide opportunities for San Jose State University students to participate in the sport of archery as well as compete at a collegiate level between other schools and organizations in a responsible and safe manner,https://mir-s3-cdn-cf.behance.net/project_modules/disp/6ec8708233969.5602b336284ce.jpg
47,2,TRUE,147,"To further and support the mission of the Arnold Air Society, and to create an honorary, professional, service organization for AFROTC cadets, which will aid in their development as United States Air Force Officers.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
48,2,FALSE,45,"Caters to both undergraduate and graduate students who are pursuing their degrees in Art, Design and Art History.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
49,0,TRUE,145,"To reach into the university and collegiate community, primarily to those who are Asian Pacific Americans, with the life-changing message of Jesus Christ.",http://www.books-not-bombs.com/content/images/schools/sjsu.png
